news title,news publisher,news writer,news content,news date,news category,news link
苏州市分公司开展2020年度安全生产培训,发布人: 徐可,撰稿人:, 7月4日，为进一步落实企业安全生产主体责任，提升企业安全生产能力和水平，苏州市分公司在滨河路1300号综合大楼组织开展企业负责人、安全员年度培训工作，公司管理层、部门安全负责人、部门安全员等参与了培训。 本次培训的主要内容为：安全生产法律、法规和规章（新）、安全生产隐患排查、常见安全生产事故分析和责任追究等，通过培训，大家深感安全生产责任重大，认为建立安全生产管理制度的目的就是保护劳动者在生产中的安全和健康，保障企业安全发展，对于社会经济建设发展具有现实意义。只有不断强化安全意识，增强防范意识，才能筑起牢固的安全生产思想防线，才能从根本上解决安全生产中存在的隐患，保障安全生产，提高经济效益。 本次培训为公司全员认真落实安全生产责任制，严格遵守安全规章制度奠定了基础，同时筑牢了安全防线，为公司安全发展营造良好氛围。,"周一, 07/06/2020 - 14:40",新闻类别:,/node/84
苏州联通干字当头，全力保障沪苏通长江公铁大桥正式通车,发布人: 徐可,撰稿人:," 7月1日上午11时45分，随着沪苏通铁路首趟列车缓缓使入张家港站，苏州常熟、太仓、张家港三市正式迈入全新的高铁时代！沪苏通长江公铁大桥建设期间，在省分公司的统一部署下，苏州市分公司有序开展各项网络建设工作，为长三角一体化搭建起一条“通信快道”。 提质增效，网络接入、铁路建设同步并进。为保证沪苏通长江公铁大桥4G/5G网络覆盖工作顺利开展，苏州市分公司从前期设计规划阶段就主动与建设方进行多次沟通，将网络接入嵌入铁路施工过程中，减少因施工环节不匹配导致的重复作业或进度延迟。 精打细算，合理规划共建共享一张网。为快速推进沪通铁路4G/5G网络规划建设，苏州市分公司5G共建共享工作组多次联合电信召开专题会议，确定总体共建共享建设方案。按照一张网的要求，共同联合勘察、设计规划、建设和优化；按照4G/5G共建共享承建区域划分原则，分别由双方对沪通铁路各自承建区域内的4/5G网络建设和共享。通过此次合作，双方可节约建设投资近643万元。 干字当头，不畏高温实现网络覆盖“一日通”。为保障这个家门口的世界级工程信号覆盖，公司领导班子亲自挂帅，快速响应并制定施工方案，组织网络技术人员加班加点赶工。在施工中，工程师们克服了高空作业、施工时间受限、高温天气等困难，29日连夜在大桥路灯杆上加抱箍，完成安装微站设备；30日确保光缆施工一天到位，实现了网络覆盖“一日通”。 首次创新，“5G+融媒体”全称直播记录历史。 通车仪式当天，苏州常熟联通利用“5G+融媒体”新技术，将通车仪式全面地展现在全市市民面前。市民们纷纷表示，本次5G直播，观感流畅、清晰，仿佛身临其境，共同参与到这一历史时刻中去。
 苏州市分公司将紧紧围绕“感知一致、体验一致、质量一致、服务一致”的共建共享目标，努力打造一张有竞争力、高质量的网络，充分发挥5G网络大带宽、低延时、高连接的特点，助力苏州智慧城市建设及长三角一体化建设，为推动江苏联通数字化转型贡献力量！","周一, 07/06/2020 - 22:15",新闻类别:,/node/85
明方向 知不足 打胜仗——苏州市分公司召开7月工作部署会,发布人: 徐可,撰稿人:, 7月6日，苏州市分公司召开7月工作部署会，总结6月得失，明确7月方向。公司领导班子、各区县公司负责人、各部门负责人、网格经理参会。 会议指出，“正计划”为公司7月核心工作，坚持“作风保证、能力保证、管控保证”三个保证，转变作风、聚焦短板，正确看待苏州分公司体量规模第一、但仍存在客户满意度、企微、存量经营、基础业务等指标落后的情况。 会议明确，要通过五大工程、十项行动、校园攻坚、5G发展等措施确保“正计划”的目标达成。一是2C市场，在现有产品体系下推进5G套包增速发展，同时关注客户满意度、客户质态等短板，以“亲情守护计划”提升存量经营；二是校园市场，重点攻坚考试后的校方客情关系；三是2B市场，对上半年总结复盘的同时要开展商机储备计划，特别是区县公司需加强创新业务突破。四是确保汛期安全，做好防汛防涝及通讯保障工作，同时保障好员工人身安全。 明方向、知不足方能打胜仗，苏州分公司将以各项措施落实“正计划”工作要求，为实现决战决胜目标而努力奋斗。 ,"周二, 07/07/2020 - 15:56",新闻类别:,/node/87
“全力以赴，奋战三季度”——市区分公司快速落实市分公司周例会工作要求,发布人: 徐可,撰稿人:, 7月13日晚，市区分公司在滨河路1300号309会议室召集各条线部门、网格、片区经理，快速落实市分周例会工作要求。各条线回顾上周指标完成情况，剖析短板，表扬先进。各分管领导对下阶段重点工作逐一明确，责任到人。公众条线上周5G新增，企微新增继续趋好，智家摆脱困局，存量增值业务完成较好。对落后的企微累计渗透率、金融业务、宽带进行剖析并制定提升措施，重点关注特定渠道的开机率，合规销售。自营做经验分享，姑苏做改善发言。同时落实好本月文明城市创建、携号转网检查。  政企条线本周重点是移网新增和校园促销。在前期拜访基础上，本周将对三中、五中等10余所学校，借助学生返校日，开展现场促销。卡、号、促销物资、人员匹配，都已在进展中，届时出人出力，全员行动。钟珂烨经理强调：1、安全第一。各条线均需加强汛期安全生产意识，做好人、财、物安全生产。2、敬畏考核。每个人对指标都要有责任心、敬畏心，对标考核细则，仔细分析现状，拉长板，补短板。3、校园是当前重中之重，要合力突破困局，想办法接触家长和同学，全公司努力！ 志存高远，干字为先。市区公司各网格各片区将紧抓短板，重抓过程，以日保周，以周保月！坚持“快、细、真、钉”四字诀，全力以赴，奋战三季度。,"周二, 07/14/2020 - 12:19",新闻类别:,/node/103
张家港分公司召开“7月第二周周例会”,发布人: 陈莹,撰稿人:, 7月13日晚，张家港分公司召开“7月第二周周例会”，各部门、网格（中心）对上周的工作情况进行汇报总结，公司领导班子、部门经理、网格经理参加了会议。 综合网格汇报了针对降套、宽带比例、沃家组网安装速度，制定提升措施，关注过程措施管控；通过不断优化，加快推进房租降本增效；继续推进2I引流自有队伍建设，提升综合转化率。政企网格汇报移网发展、双线项目等短板，紧紧抓住目标不放松，落实措施重点突破；通过 “智能化垃圾分类”等热点项目，学习先进案例，为我所用。网络中心汇报四号工程各子项推进情况，通过前后台联动，确保政企客户支撑和满意率提升；做好防汛防涝工作，确保安全生产。   最后，公司领导对各部门、网格的工作进行了点评，根据市分周例会通报内容，结合张家港短板进行再强调。要求各部门、网格奋斗再出发，瞄准公司的“正计划”加快推进；强调移网整转，跟着政务跑项目，收集重点区域信息；要求全员群策群力，全力以赴做好校园攻坚市场，加快入网入收；强调要加快对新产品的研究，打样优秀人员，加强学习和交流。,"周二, 07/14/2020 - 15:22",新闻类别:,/node/106
刷脸就能扔垃圾！苏州联通智能垃圾房亮相多个社区,发布人: 徐可,撰稿人:," “有害垃圾”是红房，“厨余垃圾”是灰房，“可回收物”是绿房，“其他垃圾”是蓝房。近日，一排“时髦”的智能垃圾房陆续亮相苏州多个社区，不少路过的居民纷纷上前“刷脸”、“扫码”测试。 苏州联通智能垃圾分类房通过5G网络覆盖和智能化改造，不仅可实现垃圾称重、定时开关、满溢提醒、刷卡、扫码、人脸识别投递、二维码追溯等功能，还可将数据实时传回后台，大大提升了垃圾分类的效率。常熟 6月30日，常熟联通湖畔社区智能化垃圾分类试点项目开始试行。乍一看，智能垃圾房和普通垃圾房并无差异，其实不然，智能垃圾房内“隐藏”着多个“智能助手”。凭借联通5G网络大带宽、低延时、高连接的特点，管理人员只需通过手机App就可24小时全方位监测垃圾房内、外部情况，包括垃圾房窗口状态、各类垃圾数量、视频直播等。 除了收集数据外，作为智能垃圾房的“智慧大脑”，管理后台还会对每日数据进行统计分析，让垃圾分类情况一目了然。数据分析可帮助管理人员了解小区居民垃圾投放习惯，从而对投放时间、垃圾桶设置进行优化，对垃圾分类进行更加科学的调整。昆山昆山联通依托移动互联网、大数据、物联网、云计算等技术，通过信息化手段，从垃圾分类宣传、垃圾分类投递、垃圾分类收集、垃圾分类清运、垃圾分类处理等方面着手，对垃圾分类各个环节进行智能化管理。截止2020年6月底，昆山联通已完成景阳社区、东方华庭和金华村等20个小区5G智能垃圾分类项目覆盖，大大方便了垃圾投递和垃圾分类管理工作。园区 2020年6月，苏州联通园区分公司与唯亭街道达成垃圾分类项目合作，实现了街道内18个社区下属小区30%的覆盖。该智能垃圾分类项目有助于社区落实三定一督，对社区垃圾分类进行监督指导。二期项目也已在推进中，将在现有基础上新增人工智能摄像头系统，溯源违规行为，确保执法有理、减少纠纷。太仓 太仓联通于去年底完成了海运堤二期智能垃圾桶项目。该垃圾桶采用太阳能光伏取电，投放口带有红外感应模块，投递垃圾时可自动开启，箱体内的摄像头会进行视觉检测识别并自动分类。同时，垃圾桶采用5G传输, 将图片、监控摄像、自动称重等海量数据进行高速传输至后台APP以及网站，从而实施实时监控、溯源数据，并用于后期进行数据分析，从数据上传到云端计算结果返回不超过1s。此外，垃圾桶还自带除臭功能，GPS/ 北斗定位功能，自动灭火、满溢报警、人机交互等功能。该垃圾桶投入使用后提高了分捡垃圾的效率，获得太仓市民的好评。 垃圾分类这一新时尚，关系广大人民群众的生活环境，也是社会文明进步的重要体现。接下来，苏州联通将继续以信息化手段助力“垃圾分类”，为全面推进数字化转型助力。","周二, 07/14/2020 - 19:04",新闻类别:,/node/115
加快校园攻坚行动7月第二周周例会,发布人: 吴静文,撰稿人:,   7.13日晚，市公司周例会后，园分同步召开再传达会议，公司领导班子，部门经理，网格经理，片区经理参加。会上园分营销部，政企部分别就条线数据进行通报。公司领导对7月工作做了点评，布置。   会上，公众线结合完成情况，指出在新增5G发展中的不足，要求渠道扩大新增，5G的规模，加快PKA代理商销售规模，行销团队，共享渠道，电商渠道的发展。严守实名制底线，严防信安诈骗。政企线要求行业网格应努力冲刺7月大项目签约，特别是社区垃圾分类，需加快签约及案例复制速度，占先机、抢市场，力保园分政企完成正计划目标。商企网格则应围绕名单制客户拜访、移网发展及双线倍增开展工作，并重视移网用户质态。   会议最后，园分周总首先强调“校园攻坚战”的工作推进要求，全力抓住“15天”黄金期，加快推进校园的客情突破及销售工作，切实结合毕业生消费市场，结合需求抢抓时间，抢抓市场。其次突出安全生产无小事，必须确保防汛期员工本人，营业厅，信息，财产，办公环境用电等方面的安全事项，确保经营发展有序推进落实。重点指出落实常规动作，推进收入正计划。2C市场紧盯发展指标，必保日标杆完成，金融智家扩大规模，同时关注渠道生存发展情况。2B做好领导，客户的维系工作，积极参与各大推广会议，商机录入，按管理区域的GDP发展制定目标，有效落实签勺计划。要求各级管理人员按照市公司工作量化，细化，体系化的推进要求制定部门员工的计划安排，工作标准，工作量化，考核到人。对近期工作的短板，做好改善提升措施，确保校园攻坚行动，正计划，五大工程，5G增速发展的推进工作，以只争朝夕的紧迫感，奋斗再出发，决战6789。,"周三, 07/15/2020 - 08:08",新闻类别:,/node/116
奋战防汛一线——园区分公司在风雨中彰显担当,发布人: 吴静文,撰稿人:,    近期，强降雨多发频发，本着“早准备、早部署、早落实”的原则，园区分公司网络中心紧急集合防汛抢险队伍“下干线、守基站”，充分做好防汛抢险准备工作，做好各类防汛物资器材储备，制定严密的防范预案，加强对户外设备和基站的巡护频次，确保发现问题，及时进行处理。    防汛专项工作小组用他们逆行身影筑起防汛“安全堤”，冲在一线，护设备、排隐患。接到相城芮埭村机房被淹通知，园分立刻响应，克服恶劣天气，全力做好受损设施抢修及通信网络恢复工作，确保通信“生命线”畅通 。暴雨过后，网络中心立马组织干线巡检，查隐患、排故障，全面做好接下来的防汛应急准备工作，保证通信网络稳定运行。   园区分公司网络中心将继续转变作风，能打胜仗，干字当头，攻坚克难，为公司全力奋战6789保驾护航。,"周三, 07/15/2020 - 08:12",新闻类别:,/node/117
苏州联通园区分公司与莲花学校开展结对共建活动,发布人: 吴静文,撰稿人:,    为进一步发挥党建引领作用，推动党建工作与业务经营深度融合，7月14日上午，苏州工业园区莲花学校党总支走进中国联通网络技术研究院5G融合应用创新中心，与苏州联通园区分公司党支部开展党建结对活动，交流党建工作，共同庆祝中国共产党成立99周年。    对于本次结对活动，莲花学校党总支非常重视，在学校校长汪明书记带领下，校方一行10人，包括4名总支成员和6名学生代表，莅临中国联通网络技术研究院5G融合应用创新中心，在周小金书记的引导下，校方一行先后体验了“5G+AI人脸识别”、“5G+VR智慧教育”、“5G+AI减压舱”、“5G+视频监控”、“5G+Live直播”、“ 5G+智慧住建”、“ 5G+大数据洞察”，学生们佩戴VR设备亲眼目睹与兵马俑实体面对面的视角，也通过手持VR设备参与了做化学实验的全过程，汪明书记更是走进减压舱，通过与AI机器人的互动，体验无人减压舱。大家不仅感叹在5G技术的背景下，我们的学习工作生活正在发生着巨大的变化。    签约仪式上，莲花学校党总支书记汪明同志首先介绍了莲花学校党建品牌“莲品先锋”，以及党建三大融合文化融合、品质融合、实践融合。园区联通党支部书记周小金同志介绍了“5G先锋”党建品牌的共同学习、共建组织、共同活动、共同服务、共促生产的5个共建服务服务内容。双方指出，结对共建有利于将企业与学校党组织思想政治优势相结合，搭建起共建活动平台，分享工作资源、交流党建经验。此次结对活动让孩子们在现下5G、大数据技术的大背景下，能够将最新的技术融入生活、拓宽视野，也对未来的办学工作提供有力支撑。    此次党建结对签约，将莲花学校与苏州联通园区分公司的客情关系提升到新的高度，下一步双方将发挥各自优势，在智慧校园、教育信息化、小燕公益课堂等方面发挥合力，携手开创党建新局面。,"周三, 07/15/2020 - 08:18",新闻类别:,/node/118
团结拼搏 转型突破——昆山分公司召开7月第2周周例会,发布人: 陆群芳,撰稿人:,   在市分公司“安全生产暨奋斗再出发第七周周通报会”后，昆山分公司继续组织召开周例会，公司领导班子、部门负责人、网格经理参加会议。   会上，各网格、部门汇报上周工作开展情况、工作中的难点及需要领导协助解决的问题、本周重点工作。分管领导结合五大工程进度、收入正计划、任务完成情况等指导推进措施。杨总提出了几项工作要求：一、各部门要做好汛期的安全生产工作，做好网络的安全排查和保障预案，做好营业、办公用房、员工出行安全。二、政企线要找到销售组织中的短板，客户拜访后快速跟进细化实施动作；党员干部带队参与重点企业的拜访和重点项目推进。三、公众线要深入开展5G体验和宣传，演示等准备工作做到标准化。四、校园加强目标学校的拜访和业务攻坚，组织好全员参与现场促销。五、网络中心做好代理商合建小区的移交。六、综合部牵头落实好文明城市创建相关工作；要组织各部门学习新的绩效考核办法并推进实施。   最后杨总鼓励大家要勇于面对发展中的困难，积极采取措施转型突破。下半年是各项激励兑现的关键期，各部门要组织好员工，团结拼搏，争取公司业绩和员工收入的双丰收。 ,"周三, 07/15/2020 - 08:50",新闻类别:,/node/121
